PostId,UserRep,UserAnswers,PostDay,PostMonth,PostWeekday,PostHour,JoinDay,JoinMonth,JoinWeekday,JoinHour,TitleChars,BodyChars,BodyLines,NumTags,Codish,UserAge,Status
11768878,155,11,1,8,3,23,16,5,1,22,36,3024,50,3,182,443,
11768880,1,0,1,8,3,23,1,8,3,22,47,1978,17,4,50,0,
11803678,781,37,3,8,5,22,29,3,4,21,59,9317,173,4,193,127,
11803496,538,0,3,8,5,21,8,2,3,2,34,611,15,3,2,177,
11803700,70,2,3,8,5,22,13,11,5,16,39,1166,35,2,2,994,
11927241,176,0,13,8,1,1,11,5,3,2,24,183,2,1,5,459,
11927226,2657,161,13,8,1,1,28,10,5,23,66,532,4,3,2,289,
11927247,11,0,13,8,1,2,18,5,5,5,38,5469,100,3,251,86,
11927248,202,4,13,8,1,2,30,10,6,8,35,274,2,2,0,652,
11927254,70,5,13,8,1,2,1,5,2,6,46,461,2,5,0,103,
11927261,27529,1561,13,8,1,2,22,10,3,4,82,389,6,3,24,1390,
11927266,890,6,13,8,1,2,17,2,3,14,37,929,24,3,13,907,
11809029,3,2,4,8,6,13,3,8,5,6,30,989,12,5,2,1,
11809034,81,0,4,8,6,13,28,6,4,7,72,332,4,1,0,37,
11809035,1,0,4,8,6,13,15,8,1,12,50,321,15,3,27,355,
11809044,32,0,4,8,6,14,2,5,3,17,40,157,8,4,2,93,
11809047,707,92,4,8,6,14,10,5,1,14,54,1668,45,1,94,816,
11809048,11,1,4,8,6,14,21,7,6,13,50,578,8,5,6,14,
11809049,36,1,4,8,6,14,30,6,3,8,46,820,11,4,6,766,
11809051,2618,35,4,8,6,14,1,3,1,17,26,6462,123,3,63,886,
11809056,305,56,4,8,6,14,20,6,3,17,72,887,3,4,6,44,
11809052,859,13,4,8,6,14,17,4,7,17,30,1067,21,2,22,474,
11809053,1,0,4,8,6,14,3,8,5,19,28,349,1,4,0,0,
11898534,14,2,10,8,5,9,28,6,4,6,43,531,14,3,12,43,
11898542,1,0,10,8,5,9,26,5,4,22,58,430,6,4,2,441,
11898548,334,15,10,8,5,9,16,2,3,10,51,5148,104,3,196,540,
11898550,369,2,10,8,5,9,11,7,1,10,63,663,14,4,1,395,
11898552,30,0,10,8,5,9,9,12,5,12,62,479,11,1,6,244,
11898553,10877,261,10,8,5,9,15,9,1,13,31,2630,49,4,88,1424,
11863414,18,0,8,8,3,11,28,3,3,13,21,1770,26,3,25,132,
11863330,9,0,8,8,3,11,11,5,5,5,34,103,2,3,0,89,
11863389,1770,21,8,8,3,11,15,1,6,12,49,1170,38,1,40,570,
11863421,88,0,8,8,3,11,13,1,5,22,24,147,0,2,4,207,
11863423,76,1,8,8,3,11,4,3,5,8,67,326,8,2,14,523,
11863424,67,2,8,8,3,11,13,1,5,9,85,2804,70,3,133,208,
11863427,48,0,8,8,3,11,13,3,2,15,22,159,0,1,0,147,
11863431,51,1,8,8,3,11,19,4,4,10,86,1079,20,5,4,111,
11863433,1,0,8,8,3,11,8,8,3,9,77,1708,21,1,24,0,
11863434,28,1,8,8,3,11,30,3,2,10,64,2466,55,4,29,862,
11939654,706,6,13,8,1,18,13,11,5,22,46,1469,26,2,30,1003,
11939656,595,5,13,8,1,18,15,7,7,16,93,354,5,2,10,29,
11939748,1,0,13,8,1,18,13,8,1,16,25,924,21,3,54,0,
11939751,3,0,13,8,1,18,14,3,3,23,42,695,9,4,0,151,
11939693,3,0,13,8,1,18,12,8,7,19,69,928,13,3,30,0,
11939736,13049,289,13,8,1,18,17,12,5,0,72,976,29,1,49,604,
11939761,4719,145,13,8,1,18,19,9,5,13,72,1313,49,2,63,1424,
11939699,1,0,13,8,1,18,22,9,4,17,74,2155,48,3,72,326,
11939765,12624,589,13,8,1,18,20,10,2,3,31,1449,39,2,56,1028,
11939767,314,34,13,8,1,18,14,7,4,20,28,240,3,3,6,395,
11939768,1,1,13,8,1,18,17,7,2,23,59,709,10,5,3,26,
11809062,1,0,4,8,6,14,4,8,6,13,27,1260,46,1,51,0,
11809073,1704,146,4,8,6,14,2,6,6,6,27,1467,40,3,69,63,
11809074,228,8,4,8,6,14,3,5,4,0,39,638,2,5,2,92,
11809075,108,0,4,8,6,14,5,1,4,20,37,411,14,2,37,211,
11809063,22,0,4,8,6,14,24,7,2,3,24,473,21,1,29,11,
11809077,17,0,4,8,6,14,1,6,5,15,43,3636,66,3,149,63,
11809082,455,44,4,8,6,14,4,5,5,8,52,186,6,4,2,92,
11809092,1,0,4,8,6,14,4,8,6,14,36,891,12,1,2,0,
11874674,23,0,8,8,3,23,17,11,3,19,73,731,14,4,2,630,
